CMD_MIL_AREA,UF,MUNICIPIO,ENTIDADE,CURSO,LOCAL,INICIO,TERMINO,CARGA_HORARIA,EFETIVO_INICIAL,EFETIVO_FINAL,VALOR_HORA_AULA,VALOR_TOTAL
CMO,MS,Campo Grande,SENAR/MS,Controle de Formigas Cortadeiras,Cmdo CMO,10/10/2017,11/10/2017,16,12,12,"R$ 0,00","R$ 0,00"
CMO,MS,Campo Grande,SENAR/MS,Processamento caseiro do Tomate,Cmdo CMO,7/11/2017,9/11/2017,24,12,12,"R$ 0,00","R$ 0,00"
CMO,MS,Corumbá,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECN",CURSO DE EXTENSÃO EM SOLDAGEM,18ª Brigada de Infantaria de Fronteira,4/9/2017,22/12/2017,20,40,40,"R$ 0,00","R$ 0,00"
CMO,MS,Corumbá,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECN",PROGRAMADOR WEB,IFMS - Corumbá-MS,4/9/2017,22/12/2017,240,20,20,"R$ 0,00","R$ 0,00"
CMO,MS,Corumbá,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECN",OPERADOR DE COMPUTADOR,18ª Brigada de Infantaria de Fronteira,00/00/0000,00/00/0000,240,25,25,"R$ 0,00","R$ 0,00"
CMP,DF,Brasília,SENAI,Eletricista de Automóveis,Taguatinga,8/5/2017,2/6/2017,100,19,18,"R$ 0,00","R$ 0,00"
CMP,DF,Brasília,SENAC, Segurança na Manipulação de Alimentos,Setor Comercial,8/5/2017,19/5/2017,40,20,20,"R$ 0,00","R$ 0,00"
CMP,DF,Brasília,SEST/SENAT,Condutor de veículos coletivo de Transp passageiro,SAMAMBAIA,23/10/2017,27/10/2017,40,21,21,"R$ 0,00","R$ 0,00"
CMP,DF,Brasília,SENAI,Mecânico de injeção eletrônica flex e diesel,Taguatinga,8/5/2017,2/6/2017,160,24,24,"R$ 0,00","R$ 0,00"
CMP,GO,GOIÂNIA,CETEC,Eletricista,CETEC,05/07/17,28/07/17,160,23,23,"R$ 0,00","R$ 0,00"
CMP,GO,GOIÂNIA,SENAI,Torneiro Mecânico,SENAI,04/09/17,04/12/17,160,1,1,"R$ 0,00","R$ 0,00"
CMP,GO,GOIÂNIA,SEST/SENAT,Cap Passageiros,SEST/SENAT,13/11/17,01/12/17,160,1,1,"R$ 0,00","R$ 0,00"
CMP,GO,GOIÂNIA,CETEC,Eletricista,CETEC,23/11/17,20/12/17,160,24,24,"R$ 0,00","R$ 0,00"
CMS,RS,Porto Alegre,RUDDER SEGURANÇA PRIVADA LTDA,Vigilante Básico,Escola de Vigilantes MAGNUM,5/6/2017,28/7/2017,160,10,10,"R$ 0,00","R$ 0,00"
CMS,RS,Porto Alegre,LYDIANS - Sistema de Informação,Lógica de Programação,SENAC - SÃO LEOPOLDO,3/1/2017,7/2/2017,40,10,9,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Implementação de redes locais,,19/7/2017,4/8/2017,60,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,"Mecânico de Suspensão, Direção e Freios",SENAI/SP,20/6/2017,3/8/2017,160,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,Barueri,SENAI/SP,Automação Hidráulica Industrial,SENAI/SP,25/6/2017,6/7/2017,40,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Operador de Empilhadeira,SENAI/SP,27/6/2017,6/7/2017,32,1,1,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,"Mecânico de Suspensão, Direção e Freios",SENAI/SP,3/7/2017,15/8/2017,160,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Pedreiro Revestidor,SENAI/SP,4/7/2017,16/8/2017,160,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Pedreiro Assentador,SENAI/SP,12/7/2017,24/8/2017,160,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Pintor Imobiliário,SENAI/SP,23/8/2017,6/10/2017,160,5,5,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Padeiro,SENAI/SP,4/5/2017,19/7/2017,160,4,4,"R$ 0,00","R$ 0,00"
CMSE,SP,Barueri,SENAI/SP,Solidworks,SENAI/SP,17/7/2017,7/8/2017,80,1,1,"R$ 0,00","R$ 0,00"
CMSE,SP,Barueri,SENAI/SP,Solidworks,SENAI/SP,14/8/2017,4/9/2017,80,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,Barueri,SENAI/SP,Solidworks,SENAI/SP,2/10/2017,24/10/2017,80,1,1,"R$ 0,00","R$ 0,00"
CMSE,SP,Pindamonhangaba,SENAI/SP,Eletricista Instalador,SENAI/SP,10/7/2017,22/8/2017,160,1,1,"R$ 0,00","R$ 0,00"
CMSE,SP,Taubaté,SENAI/SP,Auxiliar de Mecânico Automotivo,SENAI/SP,17/7/2017,29/8/2017,160,3,3,"R$ 0,00","R$ 0,00"
CMSE,SP,Barueri,SENAI/SP,Instalador Hidráulico,SENAI/SP,10/7/2017,22/8/2017,160,3,3,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Pintor Imobiliário,SENAI/SP,15/7/2017,25/8/2017,160,4,4,"R$ 0,00","R$ 0,00"
CMSE,SP,Barueri,SENAI/SP,Eletricista Automotivo,SENAI/SP,26/7/2017,8/9/2017,160,5,5,"R$ 0,00","R$ 0,00"
CMSE,SP,Barueri,SENAI/SP,Mecânico de Motor Ciclo OTTO,SENAI/SP,28/8/2017,11/10/2017,160,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,Barueri,SENAI/SP,Ajustador Mecânico,SENAI/SP,11/10/2017,20/10/2017,40,1,1,"R$ 0,00","R$ 0,00"
CMSE,SP,Barueri,SENAI/SP,Costureiro Elétrico,SENAI/SP,5/9/2017,13/12/2017,160,4,4,"R$ 0,00","R$ 0,00"
CMSE,SP,Barueri,SENAI/SP,Op Empilhadeira,SENAI/SP,8/8/2017,30/8/2017,32,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,Santos,SENAI/SP,Eletricista Instalador,SENAI/SP,24/7/2017,23/12/2017,160,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,Santos,SENAI/SP,Padeiro,SENAI/SP,24/7/2017,27/9/2017,60,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,Osasco,SENAI/SP,Pedreiro Assentador,SENAI/SP,11/7/2017,23/8/2017,160,1,1,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Confeiteiro,SENAI/SP,9/10/2017,27/11/2017,160,1,1,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Padeiro,SENAI/SP,16/10/2017,1/12/2017,160,1,1,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Salgadeiro,SENAI/SP,9/10/2017,27/11/2017,160,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Comandos Elétricos,SENAI/SP,18/10/2017,4/12/2017,160,1,1,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Eletricista Instalador,SENAI/SP,9/10/2017,27/11/2017,160,1,1,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Montagem e Manutenção de Micro,SENAI/SP,6/11/2017,20/12/2017,160,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Eletricista Instalador,SENAI/SP,9/10/2017,27/11/2017,160,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Impermeabilização de Estruturas,SENAI/SP,30/10/2017,23/11/2017,80,2,2,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Tratamento de Imagens – Photoshop,SENAI/SP,8/11/2017,30/11/2017,36,1,1,"R$ 0,00","R$ 0,00"
CMSE,SP,São Paulo,SENAI/SP,Corel Draw X8,SENAI/SP,4/12/2017,20/12/2017,34,1,1,"R$ 0,00","R$ 0,00"
CMSE,SP,Barueri,SENAI/SP,Mudança de Categoria,SENAI/SP,8/11/2017,17/11/2017,40,20,20,"R$ 0,00","R$ 0,00"
