CMD_MIL_AREA,UF,MUNICIPIO,ENTIDADE,CURSO,LOCAL,INICIO,TERMINO,CARGA_HORARIA,EFETIVO_INICIAL,EFETIVO_FINAL,VALOR_HORA_AULA,VALOR_TOTAL
CMN,PA,Altamira,"SENAI, ALTAMIRA,PA",TÉCNICAS DE APLICAÇÃO DE REVESTIMENTO CERÂMIC,"SENAI, ALTAMIRA,PA",1/12/2017,3/1/2018,40,1,1,"R$ 5,50","R$ 220,00"
CMN,PA,Belém,Parque Regional de Manutenção/8,Curso de Formação de Condutores,Pq R Mnt/8,9/10/2017,10/11/2017,180,10,9,"R$ 4,00","R$ 6.480,00"
CMN,PA,Belém,Parque Regional de Manutenção/8,Curso de Formação de Condutores,Pq R Mnt/8,28/8/2017,29/9/2017,180,10,10,"R$ 4,00","R$ 7.200,00"
CMN,PA,Belém,Parque Regional de Manutenção/8,Curso de Formação de Condutores,Pq R Mnt/8,10/7/2017,18/8/2017,180,10,10,"R$ 4,00","R$ 7.200,00"
CMN,PA,Belém,Parque Regional de Manutenção/8,Curso de Formação de Condutores,Pq R Mnt/8,14/11/2017,21/12/2017,180,10,10,"R$ 4,00","R$ 7.200,00"
CMN,PA,Santarém,SEST/SENAT,Curso de Operador de Caminhão Basculante,SEST/SENAT de Santarém-PA,16/10/2017,10/11/2017,160,11,11,"R$ 2,50","R$ 4.400,00"
CMN,PA,Santarém,SEST/SENAT,Curso de Operador de Retroescavadeira,SEST/SENAT de Santarém-PA,9/10/2017,3/11/2017,160,11,11,"R$ 2,50","R$ 4.400,00"
CMN,PA,Santarém,SEST/SENAT,Curso de Operador de Motoniveladora,SEST/SENAT de Santarém-PA,18/9/2017,17/11/2017,160,11,11,"R$ 2,50","R$ 4.400,00"
CMNE,AL,Maceió,SENAI,Condutores de Veículos de Emergência,SENAI POÇO,7/10/2017,18/11/2017,50,2,2,"R$ 5,10","R$ 510,00"
CMNE,AL,Maceió,SENAI,Condução de Veículos de Transporte de Passage,SENAI POÇO,7/10/2017,18/11/2017,50,2,2,"R$ 5,10","R$ 510,00"
CMNE,AL,Maceió,SENAI,Eletricista Instalador Predial de Baixa Tensã,SENAI POÇO,23/10/2017,19/2/2018,220,2,2,"R$ 5,07","R$ 2.230,80"
CMNE,AL,Maceió,SENAI,Eletricista de Automóveis,SENAI POÇO,25/9/2017,1/12/2017,180,2,2,"R$ 4,33","R$ 1.558,80"
CMNE,AL,Maceió,SENAI,Condutores de Veículos de transporte de Produ,SENAI POÇO,7/10/2017,18/11/2017,50,2,2,"R$ 5,10","R$ 510,00"
CMNE,BA,Salvador,19º BC,Condutor de Veículo Categoria D,19º BC,9/1/2017,15/12/2017,70,72,72,"R$ 5,00","R$ 25.200,00"
CMNE,BA,Salvador,SENAC BA,Auxiliar de Cozinha,SENAC,4/9/2017,6/10/2017,160,20,20,"R$ 3,57","R$ 11.424,00"
CMNE,BA,Salvador,51º CT,Mnt de Redes Telefônicas,51º CT,17/7/2017,18/8/2017,184,20,20,"R$ 3,48","R$ 12.806,40"
CMNE,CE,Fortaleza,SENAC,MONTADOR E REPARADOR DE COMPUTADORES,SENAC - CE,11/10/2017,16/11/2017,160,20,20,"R$ 6,89","R$ 22.048,00"
CMNE,PB,João Pessoa,Serviço Nacional de Aprendizagem de Transport,Curso de Transporte de Passageiros,SEST/ SENAT,20/11/2017,27/11/2017,50,18,18,"R$ 4,00","R$ 3.600,00"
CMNE,PB,João Pessoa,Serviço Nacional de Aprendizagem de Transport,MOPP,SEST/ SENAT,6/11/2017,14/11/2017,50,18,18,"R$ 4,00","R$ 3.600,00"
CMNE,RN,Natal,SENAI - RN,Encanador hidráulico,SENAI - CETCC - 7ª Bda Inf Mtz,18/9/2017,17/11/2017,160,16,16,"R$ 3,04","R$ 7.782,40"
CMNE,RN,Natal,SENAI - RN,Pedreiro de alvenaria,SENAI - CETCC - 16º BI Mtz,18/9/2017,17/11/2017,160,16,16,"R$ 3,43","R$ 8.780,80"
CMNE,RN,Natal,SENAI - RN,Eletricista Instalador Residencial,SENAI - CETCC - 17º GAC,18/9/2017,17/11/2017,160,16,16,"R$ 3,66","R$ 9.369,60"
CMNE,PI,Terezina,SENAI - PI,MONTADOR E REPARADOR DE COMPUTADOR,SENAI - PI,6/11/2017,8/12/2017,200,6,6,"R$ 4,20","R$ 5.040,00"
CMO,MS,Campo Grande,SENAC/ MS,Garçon,Rua Francisco Cândido Xavier nº 75 - Centro -,16/10/2017,7/12/2017,250,15,15,"R$ 5,50","R$ 20.625,00"
